main_category,sub_category,job_name,job_area,job_company,job_industry,job_finance,job_scale,job_welfare,salary_range,salary_type,job_experience,job_education,job_tag_list,search_keyword,create_time,,,,
产品,产品经理,商业化产品经理,杭州·滨江区·长河,趣链,计算机软件,C轮,500-999人,生日福利，高温补贴，节日福利，定期体检，补充医疗保险，带薪年假，五险一金，年终奖，意外险,15-30K,16薪,3-5年,本科,"用户增长,商业产品",saas,2025/1/20,,,,
产品,产品经理,商业化产品经理,杭州·余杭区·仓前,阿里巴巴集团,互联网,已上市,10000人以上,餐补，节日福利，补充医疗保险，年终奖，零食下午茶，免费班车，员工旅游，交通补助，股票期权，五险一金,25-45K,15薪,5-10年,本科,"B端产品,云计算产品,直播/视频产品,商业产品",saas,2025/1/20,,,,
产品,产品经理,商业化产品经理(GP30005008),杭州·余杭区·仓前,橙宁,大数据,不需要融资,20-99人,节日福利，餐补，团建聚餐，员工旅游，五险一金，绩效奖金，定期体检，年终奖，补充医疗保险，意外险，带薪年假,18-35K,16薪,5-10年,本科,"G端产品/政务产品,商业产品,ERP产品/软件产品,,,",saas,2025/1/20,,,,
产品,产品经理,商业照明产品专家（软件系统）,杭州·西湖区·西溪,涂鸦智能,互联网,已上市,1000-9999人,交通补助，五险一金，每年outing，每月团建费，年终奖，通讯补贴，股票期权，定期体检，节日福利，带薪年假，员工旅游，加班补助,15-30K,NULL,5-10年,本科,"B端产品,商业产品,物联网产品",saas,2025/1/20,,,,
产品,产品经理,商家端产品经理,杭州·西湖区·西溪,澎贝,互联网,1000-9999人,NULL,带薪年假，节日福利，生日福利，零食下午茶，员工旅游，五险一金，团建聚餐，节假日加班费，股票期权，定期体检，补充医疗保险，意外险，年终奖，餐补,15-30K,NULL,3-5年,本科,"B端产品,金融产品",saas,2025/1/20,,,,
产品,产品经理,商家端产品经理(J10476),杭州·西湖区·西溪,澎贝,互联网,1000-9999人,NULL,团建聚餐，生日福利，意外险，五险一金，定期体检，零食下午茶，年终奖，节假日加班费，带薪年假，餐补，节日福利，股票期权，补充医疗保险，员工旅游,15-25K,NULL,1-3年,本科,金融产品,saas,2025/1/20,,,,
产品,产品经理,国际电商TikTok SaaS产品经理,杭州·西湖区·西溪,杭州零壹起舞网络技术,电子商务,天使轮,20-99人,零食下午茶，五险一金,20-30K,NULL,3-5年,本科,"B端产品,出海,电商产品,TikTok,跨境",saas,2025/1/20,,,,
产品,产品经理,基本面产品经理,杭州·西湖区·西溪,Longbridge 长桥,互联网,A轮,100-499人,餐补，零食下午茶，全员 Mac，定期体检，节日福利，带薪年假，年终奖，五险一金，员工旅游,30-40K,NULL,5-10年,本科,"C端产品,金融产品",saas,2025/1/20,,,,
产品,产品经理,增值业务产品经理（IOT/出海）,杭州,A4x积加科技,智能硬件,B轮,100-499人,股票期权，带薪年假，五险一金，团建聚餐，包吃，员工旅游，餐补，年终奖，节日福利，零食下午茶，定期体检,20-28K,14薪,3-5年,本科,"C端产品,出海,增值业务,物联网产品",saas,2025/1/20,,,,
产品,产品经理,大数据产品经理,杭州·萧山区·北干,量知数据,计算机软件,A轮,100-499人,股票期权，餐补，全勤奖，加班补助，年终奖，带薪年假，交通补助，员工旅游，免费班车，定期体检，节日福利，五险一金，零食下午茶,18-22K,NULL,3-5年,本科,"数据产品,B端产品,中后台产品",saas,2025/1/20,,,,
产品,产品经理,大模型产品专家,杭州·滨江区·长河,杭州秋果计划科技,互联网,不需要融资,100-499人,带薪年假，全勤奖，节日福利，生日福利，节假日加班费，绩效奖金，团建聚餐，法定节假日三薪，五险一金，股票期权，工龄奖，定期体检，员工旅游,25-50K,NULL,10年以上,硕士,"C端产品,B端产品,社交产品,云计算产品,AI产品",saas,2025/1/20,,,,
产品,产品经理,大模型应用-AGENT产品经理,杭州·余杭区·仓前,阿里巴巴智能信息事业群,互联网,已上市,1000-9999人,交通补助，五险一金，定期体检，餐补，股票期权，员工旅游，补充医疗保险，年终奖，零食下午茶，带薪年假，免费班车，节日福利,30-60K,16薪,3-5年,本科,"B端产品,AI产品",saas,2025/1/20,,,,
产品,产品经理,大模型策略产品经理-AI编程助手,杭州,字节跳动,互联网,D轮及以上,10000人以上,年终奖，定期体检，补充医疗保险，餐补，年度体检，意外险，就近租房补贴，五险一金，带薪年假，团建聚餐，住房补贴，家庭关爱假，节日礼品，零食下午茶，股票期权，夜班补助，餐饮及下午茶，家属自选保险，绩效奖金，免费健身设施,20-40K,NULL,3-5年,本科,"策略产品,模型优化,大模型",saas,2025/1/20,,,,
产品,产品经理,天猫精灵-内容产品（儿童教育）-杭州,杭州·余杭区·仓前,阿里巴巴集团,互联网,已上市,10000人以上,交通补助，股票期权，补充医疗保险，员工旅游，节日福利，年终奖，餐补，免费班车，零食下午茶，五险一金,26-45K,16薪,3-5年,本科,"C端产品,其他方向,内容产品,AI产品",saas,2025/1/20,,,,
产品,产品经理,天猫精灵-数据标注产品经理-杭州,杭州·余杭区·仓前,阿里巴巴集团,互联网,已上市,10000人以上,五险一金，零食下午茶，年终奖，节日福利，股票期权，免费班车，餐补，补充医疗保险，员工旅游，交通补助,25-45K,16薪,5-10年,本科,物联网产品,saas,2025/1/20,,,,
产品,产品经理,天猫精灵-数据标注平台产品经理-杭州,杭州·余杭区·西溪,阿里巴巴集团,互联网,已上市,10000人以上,餐补，补充医疗保险，免费班车，股票期权，节日福利，五险一金，年终奖，零食下午茶，交通补助，员工旅游,26-50K,16薪,5-10年,本科,"C端产品,B端产品,数据产品,中后台产品",saas,2025/1/20,,,,
产品,产品经理,天猫精灵-软件产品经理-杭州,杭州·余杭区·仓前,阿里巴巴集团,互联网,已上市,10000人以上,餐补，节日福利，零食下午茶，补充医疗保险，年终奖，交通补助，股票期权，员工旅游，五险一金，免费班车,26-45K,16薪,5-10年,本科,C端产品,saas,2025/1/20,,,,
产品,产品经理,实习-智能驾驶产品经理,杭州·滨江区·长河,虹软科技,计算机软件,已上市,500-999人,节日福利，餐补，团建聚餐，生日福利，带薪年假，年终奖，股票期权，高温补贴，定期体检，补充医疗保险，五险一金,200-240元/天,NULL,3天/周,3个月,"B端产品,车载产品,算法",saas,2025/1/20,,,,
